Module                  Size  Used by
uas                    40960  0
usb_storage            94208  1 uas
tun                    73728  0
nft_masq               12288  3
nft_reject_ipv4        12288  2
act_csum               16384  1
cls_u32                32768  1
sch_htb                45056  1
nf_nat_tftp            12288  0
nf_conntrack_tftp      20480  3 nf_nat_tftp
uhid                   24576  1
cdc_ncm                53248  0
cdc_ether              24576  1 cdc_ncm
usbnet                 65536  2 cdc_ncm,cdc_ether
mii                    16384  1 usbnet
ipheth                 20480  0
apple_mfi_fastcharge    16384  0
uinput                 24576  0
rfcomm                110592  16
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
xt_conntrack           12288  1
xt_MASQUERADE          16384  1
bridge                475136  0
stp                    12288  1 bridge
llc                    16384  2 bridge,stp
nf_conntrack_netlink    61440  0
xt_addrtype            12288  2
nft_compat             24576  4
overlay               249856  0
nf_conntrack_netbios_ns    12288  1
nf_conntrack_broadcast    12288  1 nf_conntrack_netbios_ns
nft_fib_inet           12288  1
nft_fib_ipv4           12288  1 nft_fib_inet
nft_fib_ipv6           12288  1 nft_fib_inet
nft_fib                12288  3 nft_fib_ipv6,nft_fib_ipv4,nft_fib_inet
nft_reject_inet        12288  15
nf_reject_ipv4         12288  2 nft_reject_ipv4,nft_reject_inet
nf_reject_ipv6         20480  1 nft_reject_inet
nft_reject             12288  2 nft_reject_ipv4,nft_reject_inet
nft_ct                 28672  10
nft_chain_nat          12288  8
nf_nat                 69632  4 nf_nat_tftp,nft_masq,nft_chain_nat,xt_MASQUERADE
nf_conntrack          200704  10 xt_conntrack,nf_nat,nf_conntrack_tftp,nft_ct,nf_conntrack_netbios_ns,nf_nat_tftp,nf_conntrack_broadcast,nf_conntrack_netlink,nft_masq,xt_MASQUERADE
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         12288  1 nf_conntrack
ip_set                 69632  0
nf_tables             425984  890 nft_reject_ipv4,nft_ct,nft_compat,nft_reject_inet,nft_fib_ipv6,nft_fib_ipv4,nft_masq,nft_chain_nat,nft_reject,nft_fib,nft_fib_inet
qrtr                   57344  2
bnep                   36864  2
sunrpc                921600  1
binfmt_misc            28672  1
vfat                   28672  1
fat                   122880  1 vfat
squashfs               98304  7
nvidia_drm            151552  13
nvidia_modeset       1830912  4 nvidia_drm
nvidia_uvm           3997696  0
snd_sof_amd_acp70      16384  0
snd_sof_amd_acp63      16384  0
snd_sof_amd_vangogh    16384  0
snd_sof_amd_rembrandt    16384  0
snd_sof_amd_renoir     16384  0
snd_sof_amd_acp        73728  5 snd_sof_amd_acp70,snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_sof_amd_renoir
